image_id,dimension,modality,within_mean,cross_mean,n_matched_pairs
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,gender,caption,0.860314062315538,0.8566068064524589,12
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,gender,justification,0.6913075528684152,0.6816517610888586,12
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,gender,perception,0.6165912698412698,0.580555,12
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,economic_status,caption,0.860314062315538,0.8392782909928457,12
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,economic_status,justification,0.691307552868415,0.5501303766065399,12
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,economic_status,perception,0.6165912698412698,0.5791566666666667,12
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,political_spectrum,caption,0.860314062315538,0.8567720980887717,12
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,political_spectrum,justification,0.691307552868415,0.6417443726460618,12
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,political_spectrum,perception,0.6165912698412699,0.5737438888888888,12
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,personality,caption,0.860314062315538,0.8578206114427461,24
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,personality,justification,0.6913075528684152,0.6604963738423005,24
1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,personality,perception,0.6165912698412698,0.5810547222222222,24
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,gender,caption,0.8923918097615952,0.8834484435499622,12
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,gender,justification,0.658281871472641,0.6431494243805246,12
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,gender,perception,0.4704530608870532,0.44464444756814286,12
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,economic_status,caption,0.892391809761595,0.8392536157056263,12
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,economic_status,justification,0.658281871472641,0.49292446108824833,12
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,economic_status,perception,0.47045306088705324,0.23389987068880028,12
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,political_spectrum,caption,0.892391809761595,0.8557878424070653,12
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,political_spectrum,justification,0.658281871472641,0.5369873887872864,12
1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,political_spectrum,perception,0.47045306088705324,0.41911467282150955,12
