model,display_model,heatmap,figure,metric,row_label,column_label,value
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Streets & orderly urban,M/High/Cons/Empa,0.067700987306064886
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",City & nature,M/High/Cons/Empa,0.066290550070521856
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Home & peaceful scene,M/High/Cons/Empa,0.06488011283497884
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Typical urban scene,M/High/Cons/Empa,0.062059238363892807
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Natural landscape & beauty,M/High/Cons/Prag,0.18792866941015088
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Work & development,M/High/Cons/Prag,0.13031550068587106
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Accident & police response,M/High/Cons/Prag,0.12894375857338819
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Rural & quiet road,M/High/Cons/Prag,0.13305898491083676
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Historical & preserved,M/High/Cons/Prag,0.069958847736625515
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Destruction & conflict,M/High/Cons/Prag,0.069958847736625515
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Streets & orderly urban,M/High/Cons/Prag,0.075445816186556922
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",City & nature,M/High/Cons/Prag,0.06584362139917696
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Home & peaceful scene,M/High/Cons/Prag,0.068587105624142664
